"DIRECTORATEOFTECHNICALEDUCATION,MADHYAPRADESH",,,,,,,,,,,,,,
LATERALENTRYBTECH,,,,,,,,,,,,,,
OPENINGCLOSINGRANK-FIRSTROUND2026,,,,,,,,,,,,,,
BASEDONQUALIFYINGEXAM DATE:06.08.2026,,,,,,,,,,,,,,
S.No.,INST_NAME,,INST_TYPE,FW,,BRANCH,OPENING_RANK,CLOSING_RANK,OPENING_MERIT,CLOSING_MERIT,ALLOTTED_CATEGORY,DOMICILE,TOTAL_ALLOTTED,
S.No.,INST_NAME,,INST_TYPE,FW,,BRANCH,OPENING_RANK,CLOSING_RANK,OPENING_MERIT,CLOSING_MERIT,ALLOTTED_CATEGORY,DOMICILE,TOTAL_ALLOTTED,
137,"HitkarniCollegeofEngineering&Technology,Jabalpur(1997)",,Private,N,,ELECTELEX,2308,2308,68.8,68.8,ST/X/OP,,1,
138,"HitkarniCollegeofEngineering&Technology,Jabalpur(1997)",,Private,N,,ELECTELEX,26,2251,89.6,69,UR/X/OP,,29,
139,"HitkarniCollegeofEngineering&Technology,Jabalpur(1997)",,Private,N,,CSE,1246,2411,73.9,68.2,UR/X/OP,,6,
140,"HitkarniCollegeofEngineering&Technology,Jabalpur(1997)",,Private,N,,CSEIML,2567,2739,67.32,66.3,UR/X/OP,,2,
141,"HitkarniCollegeofEngineering&Technology,Jabalpur(1997)",,Private,N,,CSEDS,2826,2826,65.7,65.7,UR/X/OP,,1,
142,"HitkarniCollegeofEngineering&Technology,Jabalpur(1997)",,Private,N,,IT,2499,2963,67.7,64.6,UR/X/OP,,2,
143,"HitkarniCollegeofEngineering&Technology,Jabalpur(1997)",,Private,N,,MECH,625,3022,78,64.2,UR/X/OP,,23,
144,"HitkarniCollegeofEngineering&Technology,Jabalpur(1997)",,Private,N,,EC,1582,3381,72.3,59.8,UR/X/OP,,6,
145,"HitkarniCollegeofEngineering&Technology,Jabalpur(1997)",,Private,N,,CIVIL,766,3487,76.9,54.89,UR/X/OP,,15,
146,"HitkarniCollegeofEngineering&Technology,Jabalpur(1997)",,Private,N,,MECH,3064,3064,63.8,63.8,"UR/X/OP(After
Conversion)",,1,
147,"HitkarniCollegeofEngineering&Technology,Jabalpur(1997)",,Private,N,,ELECTELEX,2352,3458,68.5,56.9,"UR/X/OP(After
Conversion)",,11,
148,"IESCOLLEGEOFTECHNOLOGY,BHOPAL (2007)",,Private,N,,CSEIML,842,842,76.44,76.44,UR/X/OP,,1,
149,"IESCOLLEGEOFTECHNOLOGY,BHOPAL (2007)",,Private,N,,EC,878,878,76.19,76.19,UR/X/OP,,1,
150,"IESCOLLEGEOFTECHNOLOGY,BHOPAL (2007)",,Private,N,,CSE,15,934,90.2,75.73,UR/X/OP,,5,
151,"IESCOLLEGEOFTECHNOLOGY,BHOPAL (2007)",,Private,N,,AIAIDS,1497,1497,72.7,72.7,UR/X/OP,,1,
152,"IESCOLLEGEOFTECHNOLOGY,BHOPAL (2007)",,Private,N,,CIVIL,3408,3408,59,59,UR/X/OP,,1,
